** Conflict ** , thinking about stall or another move
** Conflict ** , thinking about stall or another move
Printing final path
Player 1 going at posisition at<68,15> at step 0
Player 2 going at posisition at<10,73> at step 0
Player 1 going at posisition at<68,16> at step 1
Player 2 going at posisition at<11,73> at step 1
Player 1 going at posisition at<68,17> at step 2
Player 2 going at posisition at<12,73> at step 2
Player 1 going at posisition at<68,18> at step 3
Player 2 going at posisition at<13,73> at step 3
Player 1 going at posisition at<68,19> at step 4
Player 2 going at posisition at<14,73> at step 4
Player 1 going at posisition at<68,20> at step 5
Player 2 going at posisition at<15,73> at step 5
Player 1 going at posisition at<68,21> at step 6
Player 2 going at posisition at<16,73> at step 6
Player 1 going at posisition at<68,22> at step 7
Player 2 going at posisition at<17,73> at step 7
Player 1 going at posisition at<68,23> at step 8
Player 2 going at posisition at<18,73> at step 8
Player 1 going at posisition at<68,24> at step 9
Player 2 going at posisition at<19,73> at step 9
Player 1 going at posisition at<68,25> at step 10
Player 2 going at posisition at<20,73> at step 10
Player 1 going at posisition at<68,26> at step 11
Player 2 going at posisition at<21,73> at step 11
Player 1 going at posisition at<68,27> at step 12
Player 2 going at posisition at<22,73> at step 12
Player 1 going at posisition at<68,28> at step 13
Player 2 going at posisition at<23,73> at step 13
Player 1 going at posisition at<68,29> at step 14
Player 2 going at posisition at<24,73> at step 14
Player 1 going at posisition at<68,30> at step 15
Player 2 going at posisition at<25,73> at step 15
Player 1 going at posisition at<68,31> at step 16
Player 2 going at posisition at<26,73> at step 16
Player 1 going at posisition at<68,32> at step 17
Player 2 going at posisition at<27,73> at step 17
Player 1 going at posisition at<68,33> at step 18
Player 2 going at posisition at<28,73> at step 18
Player 1 going at posisition at<68,34> at step 19
Player 2 going at posisition at<29,73> at step 19
Player 1 going at posisition at<68,35> at step 20
Player 2 going at posisition at<29,74> at step 20
Player 1 going at posisition at<68,36> at step 21
Player 2 going at posisition at<30,74> at step 21
Player 1 going at posisition at<68,37> at step 22
Player 2 going at posisition at<31,74> at step 22
Player 1 going at posisition at<68,38> at step 23
